Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR018893	Type VIII secretion system, CsgF	interpro	family		PF10614	
IPR018920	ESAT-6 secretion machinery protein EssA/YueC	interpro	family		TIGR03927	
IPR019029	Type III secretion system, PrgH/EprH-like	interpro	family		PF09480	GO:0016020
IPR019861	Type IX secretion system membrane protein, PorP/SprF family	interpro	family		PF11751,TIGR03519	
IPR020996	Type III secretion system, AvrPto	interpro	family		PF11592	
IPR021055	Type-IV b secretion system, inner-membrane complex component	interpro	family		cd16385,PF11393	
IPR021123	Type III secretion, needle-protein-like	interpro	family		PF09392	GO:0015031
IPR021368	Type VII secretion system protein EccE	interpro	family		TIGR03923,PF11203	
IPR021477	Type VII secretion effector, SACOL2603 family	interpro	family		PF11328,TIGR04197	
IPR021545	Type III secretion system filament chaperone CesA	interpro	family		PF11439	
IPR022073	Putative outer membrane core complex of type IVb secretion	interpro	family		PF12293	
IPR022250	Type IVb secretion, IcmS, effector-recruitment	interpro	family		PF12608	
IPR022275	NHPM bacteriocin system secretion protein, HylD	interpro	family		TIGR03794	
IPR022536	ESX-1 secretion-associated protein EspC	interpro	family		PF10824	GO:0009306
IPR022792	Type II secretion system protein GspN	interpro	family		PF01203	GO:0015628,GO:0015627
IPR022797	Type III secretion system regulator LcrR/Chaperone CesD2	interpro	family		PF09621	
IPR023787	Type III secretion system flagellar brake protein YcgR	interpro	family		MF_01457	GO:0035438,GO:0071945
IPR023834	Type VII secretion system peptidase S8A, mycosin	interpro	family		TIGR03921	
IPR023835	Type VII secretion system AAA-ATPase, EccA	interpro	family		TIGR03922	
IPR023840	Type VII secretion system Rv3446c	interpro	family		TIGR03931	
IPR025292	Type III secretion system protein	interpro	family		PF13327	
IPR025562	Type VI secretion system (T6SS), amidase effector protein 4	interpro	family		PF14113	
IPR025955	Type-IV secretion system protein TraC/Conjugative transfer ATPase	interpro	family		PF11130	
IPR026264	Type IV secretion system protein VirB8/PtlE	interpro	family		PIRSF003299	GO:0030255
IPR027282	Two partner secretion pathway transporter	interpro	family		PIRSF029745	GO:0015031
IPR027628	Conjugal transfer/type IV secretion protein DotA/TraY	interpro	family		TIGR04346	
IPR030924	Type II secretion system-associated lipoprotein	interpro	family		TIGR04410	
IPR030925	Type II secretion system protein GspN, Leptospira-type	interpro	family		TIGR04411	
IPR030927	Type II secretion system protein GspM, XcpZ-type	interpro	family		TIGR04412	
IPR031682	Type VII secretion system protein EsaE	interpro	family		PF16887	
IPR031758	Putative substrate of the Dot/Icm secretion system	interpro	family		PF16848	
IPR031975	Type IV pilin-like putative secretion pathway protein G/H	interpro	family		PF16734	
IPR032032	Type VI secretion system (T6SS), amidase immunity protein	interpro	family		PF16695	
IPR032389	Type II secretion system protein GspB	interpro	family		PF16537	GO:0015627
IPR032681	HlyD family secretion protein	interpro	family		PF12700	
IPR033227	Calcium-dependent secretion activator	interpro	family		PTHR12166	GO:0016079,GO:1990504
IPR034026	ESAT-6 secretion machinery protein EssA	interpro	family		PF10661	
IPR034756	Type II secretion system (T2SS), protein M subtype b	interpro	family		PF10741	
IPR035177	Type VI secretion system TssN	interpro	family		PF17555	
IPR035576	Type VI secretion system TssC	interpro	family		PF17541	GO:0033103,GO:0033104
IPR039366	Type 3 secretion system pilotin	interpro	family		PF09619	
IPR039449	Type VI secretion system TssO	interpro	family		PF17561	
IPR043993	Type IV secretion system pilin	interpro	family		PF18895	
IPR047659	Type VII secretion system-associated protein	interpro	family		NF033532	
IPR047695	Type IV secretion system, VirB10/PtlG	interpro	family		NF038091	
IPR047799	Type IX secretion system, outer membrane channel protein PorV	interpro	family		NF033710	
IPR048018	Type IV secretion system, ComB10-like	interpro	family		NF038092	
IPR048081	Type III secretion system co-regulatory protein PtrC-like	interpro	family		NF041597	
IPR048114	Type II secretion system protein GspC-like, Synergistales	interpro	family		NF041616	
IPR048115	Type II secretion system protein GspL-like, Synergistales	interpro	family		NF041617	
IPR048116	Type II secretion system protein GspM-like, Synergistales	interpro	family		NF041618	
IPR048117	Type II secretion system protein GspN-like, Synergistales	interpro	family		NF041619	
IPR048130	Type VI secretion system effector ExIF-like	interpro	family		NF041560	
IPR048187	General secretion pathway protein N-like	interpro	family		NF041470	
IPR048928	AvrRps4 family type III secretion system effector	interpro	family		NF041353	
IPR049801	Type VII secretion system-associated protein-like	interpro	family		NF033533	
IPR049848	Type IVa secretion system protein TapY2-like	interpro	family		NF038109	
IPR049875	Type II secretion system minor pseudopilin GspH	interpro	family		TIGR01708	GO:0015628,GO:0015627
IPR049928	Type III secretion system effector XopP-like	interpro	family		NF041354	
